Facebook Post,Emotion,User ID
Feeling happy today! :),Happy,123456
Had a tough day at school. :(,Sad,789012
Excited for the weekend!,Excited,456789
Annoyed with the traffic today.,Annoyed,345678
" "Celebrating my birthday today! :D" ,Happy,890123
" "Starting a new hobby. Excited!" ,Excited,789012
" "Attended an inspiring seminar today!" ,Inspired,789012
" "Just got a promotion at work! Ecstatic!" ,Ecstatic,567890
Feeling lonely. Missing friends. ,Lonely,890123
" "Worried about the future." ,Worried,901234
Enjoying a peaceful evening. ,Peaceful,678901
